,dimension,edge,correct,layer,distance,ground_truth_aprx,likelihood_metric,score
0,5,"(99, 0)",True,d_G,0.14076604409104534,0,inverse,0.48045722110484207
1,5,"(7, 8)",True,d_G,0.12692886015508462,1,inverse,0.5804465776160062
2,5,"(9, 8)",False,d_G,0.06693688676339006,1,inverse,0.4754015868372315
3,5,"(11, 10)",False,d_G,0.12338367827898515,1,inverse,0.48320644158562975
4,5,"(12, 13)",True,d_G,0.13532335020291092,1,inverse,0.5103623668100675
5,5,"(14, 15)",True,d_G,0.05657448120594929,1,inverse,0.6661841636373823
6,5,"(15, 16)",True,d_G,0.07115880814072754,1,inverse,0.5307421439868438
7,5,"(20, 19)",True,d_G,0.06047063837050141,1,inverse,0.7118811190911544
8,5,"(20, 21)",False,d_G,0.1444229816815333,1,inverse,0.44337663931079146
9,5,"(22, 21)",True,d_G,0.15726236344982766,1,inverse,0.5889660748095678
10,5,"(23, 22)",True,d_G,0.1417138126290062,1,inverse,0.5475583402824566
11,5,"(24, 25)",False,d_G,0.12290458707596624,1,inverse,0.391788190485217
12,5,"(26, 25)",True,d_G,0.028495960186265355,1,inverse,0.677139047831102
13,5,"(26, 27)",True,d_G,0.04582488236384928,1,inverse,0.7211758660307912
14,5,"(28, 27)",False,d_G,0.11825267632214602,1,inverse,0.46239236295613834
15,5,"(29, 28)",False,d_G,0.18784933221821062,1,inverse,0.4153431689750595
16,5,"(32, 31)",True,d_G,0.08525430978145114,1,inverse,0.6929458629234573
17,5,"(32, 33)",True,d_G,0.1341288463863677,1,inverse,0.5134433763075905
18,5,"(34, 35)",True,d_G,0.0776313247307813,1,inverse,0.6255746445880889
19,5,"(36, 35)",True,d_G,0.0781737280321056,1,inverse,0.6729920992534422
20,5,"(36, 37)",True,d_G,0.13866946701824784,1,inverse,0.5538341456333424
21,5,"(40, 41)",False,d_G,0.12010348187523455,1,inverse,0.48113714598922136
22,5,"(42, 41)",True,d_G,0.1156857730729442,1,inverse,0.5335714563047974
23,5,"(42, 43)",True,d_G,0.13284672170844938,1,inverse,0.6389053448551592
24,5,"(44, 43)",True,d_G,0.08423191416023142,1,inverse,0.5293247186929828
